longitudeTop,latitudeTop,elevationTop,longitudeBase,latitudeBase,elevationBase
253.59987,31.695342,5.54736,253.59987,31.695342,0
253.60384,31.696135,24.17064,253.60384,31.696135,0
253.60765,31.696895,41.11752,253.60765,31.696895,0
253.61162,31.697687,58.09488,253.61162,31.697687,0
253.6156,31.698482,76.71816,253.6156,31.698482,0
253.6194,31.69924,93.66504,253.6194,31.69924,0
253.62338,31.700035,112.3188,253.62338,31.700035,0
253.62736,31.700829,129.26568,253.62736,31.700829,0
253.63116,31.701588,144.53616,253.63116,31.701588,0
253.63496,31.702346,164.86632,253.63496,31.702346,0
253.63877,31.703107,181.8132,253.63877,31.703107,0
253.64274,31.703899,200.46696,253.64274,31.703899,0
253.64655,31.704659,219.12072,253.64655,31.704659,0
253.65052,31.705452,237.744,253.65052,31.705452,0
253.6545,31.706246,254.69088,253.6545,31.706246,0
253.6583,31.707005,273.34464,253.6583,31.707005,0
253.66228,31.707799,291.9984,253.66228,31.707799,0
253.66608,31.708557,308.94528,253.66608,31.708557,0
253.67006,31.709352,327.59904,253.67006,31.709352,0
253.67386,31.71011,346.222319,253.67386,31.71011,0
253.67784,31.710905,364.876079,253.67784,31.710905,0
253.68147,31.711629,368.289839,253.68147,31.711629,0
253.68423,31.71218,397.062959,253.68423,31.71218,0
253.68821,31.712975,407.243279,253.68821,31.712975,0
253.69236,31.713803,417.423599,253.69236,31.713803,0
253.69651,31.714631,427.603919,253.69651,31.714631,0
253.70049,31.715426,436.107839,253.70049,31.715426,0
253.70464,31.716254,446.288159,253.70464,31.716254,0
253.70879,31.717082,456.468479,253.70879,31.717082,0
253.71277,31.717877,466.648799,253.71277,31.717877,0
253.71692,31.718705,476.798639,253.71692,31.718705,0
253.7209,31.719499,485.302559,253.7209,31.719499,0
253.72487,31.720292,495.482879,253.72487,31.720292,0
253.72868,31.721052,505.663199,253.72868,31.721052,0
253.73283,31.721881,514.136639,253.73283,31.721881,0
253.73698,31.722709,524.316959,253.73698,31.722709,0
253.73854,31.72302,473.537279,253.73854,31.72302,0
253.74269,31.723849,485.393999,253.74269,31.723849,0
253.74667,31.724643,497.281199,253.74667,31.724643,0
253.74754,31.724817,500.664479,253.74754,31.724817,0
253.75169,31.725645,510.844799,253.75169,31.725645,0
253.75584,31.726473,522.701519,253.75584,31.726473,0
253.75981,31.727266,534.588719,253.75981,31.727266,0
253.76396,31.728094,548.152319,253.76396,31.728094,0
253.76811,31.728922,558.332639,253.76811,31.728922,0
253.77226,31.729751,570.189359,253.77226,31.729751,0
253.77624,31.730545,582.076559,253.77624,31.730545,0
253.78022,31.731339,593.933279,253.78022,31.731339,0
253.78281,31.731856,600.730319,253.78281,31.731856,0
253.78679,31.732651,614.293919,253.78679,31.732651,0
253.79094,31.733479,626.150639,253.79094,31.733479,0
253.79509,31.734307,636.330959,253.79509,31.734307,0
253.79924,31.735136,648.218159,253.79924,31.735136,0
253.80322,31.73593,661.781759,253.80322,31.73593,0
253.80737,31.736758,673.638479,253.80737,31.736758,0
253.81134,31.737551,683.818799,253.81134,31.737551,0
253.81653,31.738587,698.235839,253.81653,31.738587,0
253.81827,31.738934,641.543039,253.81827,31.738934,0
253.82207,31.739692,661.873199,253.82207,31.739692,0
253.82588,31.740453,682.203359,253.82588,31.740453,0
253.82968,31.741211,702.533519,253.82968,31.741211,0
253.83331,31.741936,724.570559,253.83331,31.741936,0
253.83711,31.742694,744.900719,253.83711,31.742694,0
253.84092,31.743455,765.230879,253.84092,31.743455,0
253.84472,31.744213,785.591519,253.84472,31.744213,0
253.84852,31.744972,805.921679,253.84852,31.744972,0
253.85233,31.745732,826.251839,253.85233,31.745732,0
253.85751,31.746766,877.915439,253.85751,31.746766,0
253.85774,31.746812,1062.502318,253.85774,31.746812,0
253.86197,31.747656,1131.112798,253.86197,31.747656,0
253.87165,31.749588,1206.489838,253.87165,31.749588,0
253.59763,31.627666,0.85344,253.59763,31.627666,0
253.65138,31.665189,308.18328,253.65138,31.665189,0
253.65323,31.666481,320.10096,253.65323,31.666481,0
253.65454,31.667395,325.13016,253.65454,31.667395,0
253.6577,31.669601,335.279999,253.6577,31.669601,0
253.661,31.671905,345.429839,253.661,31.671905,0
253.6643,31.674209,355.610159,253.6643,31.674209,0
253.66773,31.676603,365.759999,253.66773,31.676603,0
253.67103,31.678907,375.909839,253.67103,31.678907,0
253.67419,31.681113,386.090159,253.67419,31.681113,0
253.67901,31.684478,392.003279,253.67901,31.684478,0
253.68189,31.686488,447.050159,253.68189,31.686488,0
253.68533,31.68889,450.433439,253.68533,31.68889,0
253.68863,31.691194,453.816719,253.68863,31.691194,0
253.69206,31.693588,457.199999,253.69206,31.693588,0
253.69536,31.695892,460.583279,253.69536,31.695892,0
253.69866,31.698196,465.673439,253.69866,31.698196,0
253.7021,31.700597,469.056719,253.7021,31.700597,0
253.7054,31.702901,472.439999,253.7054,31.702901,0
253.70883,31.705295,475.823279,253.70883,31.705295,0
253.71227,31.707697,479.206559,253.71227,31.707697,0
253.71557,31.710001,482.589839,253.71557,31.710001,0
253.71901,31.712402,485.973119,253.71901,31.712402,0
253.7223,31.714699,489.386879,253.7223,31.714699,0
253.72574,31.7171,492.770159,253.72574,31.7171,0
253.72904,31.719404,496.153439,253.72904,31.719404,0
253.73234,31.721708,501.213119,253.73234,31.721708,0
253.73578,31.724109,504.626879,253.73578,31.724109,0
253.73983,31.726937,506.303279,253.73983,31.726937,0
253.74086,31.727656,475.823279,253.74086,31.727656,0
253.7443,31.730057,479.206559,253.7443,31.730057,0
253.7476,31.732361,482.589839,253.7476,31.732361,0
253.75103,31.734756,485.973119,253.75103,31.734756,0
253.75433,31.737059,489.386879,253.75433,31.737059,0
253.75763,31.739363,494.446559,253.75763,31.739363,0
253.76107,31.741765,497.829839,253.76107,31.741765,0
253.76437,31.744068,501.213119,253.76437,31.744068,0
253.7678,31.746463,504.626879,253.7678,31.746463,0
253.7711,31.748767,508.010159,253.7711,31.748767,0
253.77694,31.752844,514.776719,253.77694,31.752844,0
253.77825,31.753758,485.973119,253.77825,31.753758,0
253.78141,31.755964,499.536719,253.78141,31.755964,0
253.78471,31.758268,514.776719,253.78471,31.758268,0
253.78787,31.760474,528.309839,253.78787,31.760474,0
253.79103,31.76268,543.549839,253.79103,31.76268,0
253.79433,31.764984,557.113439,253.79433,31.764984,0
253.79749,31.76719,572.353439,253.79749,31.76719,0
253.80354,31.771413,600.273119,253.80354,31.771413,0
253.80437,31.771993,567.263279,253.80437,31.771993,0
253.80767,31.774296,579.119999,253.80767,31.774296,0
253.81083,31.776502,590.976719,253.81083,31.776502,0
253.81413,31.778806,602.833439,253.81413,31.778806,0
253.81743,31.78111,614.690159,253.81743,31.78111,0
253.82072,31.783407,626.546879,253.82072,31.783407,0
253.82402,31.78571,638.373119,253.82402,31.78571,0
253.82718,31.787916,650.229839,253.82718,31.787916,0
253.83241,31.791568,691.713119,253.83241,31.791568,0
253.8333,31.792189,883.066559,253.8333,31.792189,0
253.83694,31.79473,939.789839,253.83694,31.79473,0
253.83997,31.796845,961.826879,253.83997,31.796845,0
253.84285,31.798856,983.833439,253.84285,31.798856,0
253.84574,31.800873,1005.839998,253.84574,31.800873,0
253.84863,31.802891,1026.170158,253.84863,31.802891,0
253.85839,31.809704,1100.663278,253.85839,31.809704,0
253.85962,31.810563,1153.149838,253.85962,31.810563,0
253.87426,31.820783,1239.530158,253.87426,31.820783,0
253.62171,31.50033,119.9388,253.62171,31.50033,0
253.62302,31.501297,123.47448,253.62302,31.501297,0
253.62453,31.502411,128.74752,253.62453,31.502411,0
253.62578,31.503334,133.74624,253.62578,31.503334,0
253.62713,31.50433,138.59256,253.62713,31.50433,0
253.62826,31.505164,142.09776,253.62826,31.505164,0
253.62956,31.506124,146.06016,253.62956,31.506124,0
253.63083,31.507061,151.45512,253.63083,31.507061,0
253.63227,31.508124,155.72232,253.63227,31.508124,0
253.63363,31.509128,158.37408,253.63363,31.509128,0
253.63477,31.509969,160.87344,253.63477,31.509969,0
253.63609,31.510944,164.71392,253.63609,31.510944,0
253.63758,31.512043,169.98696,253.63758,31.512043,0
253.63885,31.512981,174.37608,253.63885,31.512981,0
253.64017,31.513955,178.52136,253.64017,31.513955,0
253.64153,31.514959,182.36184,253.64153,31.514959,0
253.64259,31.515741,185.7756,253.64259,31.515741,0
